"523FILIZCHAY-BH70-(0-255)1-out	Tool 772",,,,,,,,,,,,,,,,,,,,,,,,,
Station,Dip,Azimuth,GHS,GTF,DLS,Easting,Northing,Elevation,UpDown,LeftRight,Shortfall,GravField,Drift check,Accumulated roll,Accumulated roll (rev),Roll to station,Roll to station (rev),Time to station,Temperature,Battery,Station acc.,Station rate,Station Quality,Max. rate,Motion Quality
m,deg,deg,deg,deg,deg / 30 m,m,m,m,m,m,m,g,,deg,revolutions,deg,revolutions,s,C,V,g,deg /s,%,deg /s,%
0,-61.5048,156,192.3752,192.3752,0,612242,4631865,1169.5762,0,0,0,0.9959,Yes,4.3706,0.0121,2.1317,0.0059,29.7779,19.7872,8.3091,0.0013,0.0005,100,0.2294,100
3,-61.7233,155.9514,190.3037,190.2436,2.1975,612242.5807,4631863.697,1166.9369,-0.0057,-0.0006,1.4262,0.9955,Yes,2.2389,0.0062,0.7638,0.0021,30.6299,19.8627,8.3161,0.001,0.0004,100,0.142,100
6,-61.9411,156.0031,189.5303,189.4798,2.1916,612243.1572,4631862.404,1164.2922,-0.0229,-0.0012,2.8424,0.9957,Yes,1.4751,0.0041,3.2727,0.0091,30.7937,19.953,8.3232,0.0012,0.0004,100,0.1716,100
9,-61.8927,155.9998,186.238,186.2071,0.4841,612243.7316,4631861.114,1161.6454,-0.0444,-0.0011,4.2546,0.9953,Yes,-1.7976,-0.005,-4.412,-0.0123,30.4661,20.0494,8.3285,0.001,0.0003,100,0.1933,100
12,-61.8464,156.3224,190.3012,190.6191,1.59,612244.3032,4631859.82,1158.9998,-0.0636,0.0029,5.6691,0.9955,Yes,2.6145,0.0073,-1.1205,-0.0031,29.5731,20.1549,8.3362,0.0009,0.0003,100,0.2245,100
15,-61.862,156.4523,191.3066,191.7396,0.6325,612244.8701,4631858.523,1156.3545,-0.0819,0.0124,7.0842,0.9955,Yes,3.735,0.0104,0.572,0.0016,30.3104,20.2455,8.3433,0.0009,0.0003,100,0.103,100
18,-61.9444,156.5596,190.6582,191.1677,0.9667,612245.4333,4631857.228,1153.7081,-0.1028,0.0249,8.4971,0.9953,Yes,3.163,0.0088,0.0163,0,30.0319,20.3421,8.3488,0.0009,0.0003,100,0.1589,100
21,-62.0411,156.3775,190.7915,191.1514,1.2908,612245.9958,4631855.936,1151.0594,-0.1283,0.0364,9.9058,0.9955,Yes,3.1467,0.0087,-0.0036,0,29.4584,20.4581,8.356,0.001,0.0003,100,0.1701,100
24,-62.1486,156.4406,190.6899,191.155,1.1155,612246.5577,4631854.649,1148.4082,-0.1592,0.0464,11.3098,0.9953,Yes,3.1503,0.0088,1.0421,0.0029,29.5895,20.5896,8.3636,0.0009,0.0003,100,0.2212,100
27,-62.1914,156.3843,189.6953,190.1129,0.5023,612247.1181,4631853.366,1145.7552,-0.1941,0.0565,12.7104,0.9954,Yes,2.1082,0.0059,-0.8027,-0.0022,30.3596,20.7284,8.3681,0.0016,0.0004,100,0.3013,100
30,-62.3455,156.3706,190.4545,190.9156,1.5418,612247.6775,4631852.087,1143.0998,-0.234,0.0657,14.1063,0.9954,Yes,2.911,0.0081,-0.0406,-0.0001,29.6387,20.8444,8.3759,0.001,0.0003,100,0.2126,100
33,-62.4376,156.2611,190.5902,190.9562,1.0517,612248.2359,4631850.814,1140.4414,-0.2805,0.0734,15.4966,0.9955,Yes,2.9515,0.0082,0.079,0.0002,31.7604,20.9381,8.3833,0.001,0.0003,100,0.2053,100
36,-62.5649,156.0973,190.6221,190.8772,1.4805,612248.7954,4631849.546,1137.7804,-0.3326,0.0777,16.8818,0.9954,Yes,2.8725,0.008,0.9594,0.0027,29.6714,21.0085,8.3894,0.001,0.001,100,0.1623,100
39,-62.7611,155.9269,189.8325,189.9178,2.1127,612249.3555,4631848.288,1135.1154,-0.3933,0.078,18.2595,0.9953,Yes,1.9131,0.0053,-0.0571,-0.0002,29.8271,21.0508,8.3967,0.0012,0.0003,100,0.2331,100
42,-62.9639,155.8053,189.9588,189.9749,2.1027,612249.9149,4631847.039,1132.4457,-0.4644,0.0748,19.6278,0.9952,Yes,1.9702,0.0055,0.6004,0.0017,31.5556,21.0756,8.4035,0.001,0.0003,100,0.177,100
45,-63.1597,155.7494,189.4304,189.3745,1.9741,612250.4725,4631845.799,1129.7712,-0.546,0.0696,20.9869,0.995,Yes,1.3698,0.0038,0.1306,0.0004,29.27,21.0648,8.4099,0.001,0.0003,100,0.3715,100
48,-63.4111,155.5008,189.5385,189.2439,2.7515,612251.0291,4631844.571,1127.0914,-0.6392,0.0607,22.3354,0.9951,Yes,1.2392,0.0034,1.2392,0.0034,29.4339,21.0304,8.4169,0.0009,0.0003,100,0.3453,100
51,-63.5241,155.596,225.5168,225.5168,0,612251.583,4631843.352,1124.407,0,0,0,0.9952,Yes,3.6219,0.0101,-0.5278,-0.0015,29.1062,19.6433,7.9475,0.001,0.0003,100,0.1766,100
54,-63.6404,155.5715,226.0125,226.0447,1.1681,612252.1347,4631842.137,1121.7203,-0.003,-0.0003,1.3347,0.9954,Yes,4.1498,0.0115,1.1948,0.0033,28.0085,19.6884,7.9511,0.001,0.0004,100,0.1231,100
57,-63.6785,155.5407,224.8972,224.8499,0.405,612252.6856,4631840.925,1119.0318,-0.0101,-0.0012,2.6659,0.9954,Yes,2.955,0.0082,-2.6251,-0.0073,29.3847,19.7312,7.953,0.0009,0.0003,100,0.2229,100
60,-63.758,155.5605,227.4849,227.475,0.7992,612253.2353,4631839.716,1116.3419,-0.0203,-0.0023,3.9942,0.9955,Yes,5.5801,0.0155,0.2226,0.0006,28.9915,19.7736,7.9568,0.001,0.0003,100,0.1251,100
63,-63.8204,155.5791,227.3017,227.2523,0.6298,612253.7834,4631838.509,1113.6504,-0.0342,-0.0029,5.3192,0.9953,Yes,5.3574,0.0149,1.574,0.0044,29.0161,19.8221,7.9616,0.001,0.0003,100,0.298,100
66,-64.0301,155.4241,225.7768,225.6783,2.2049,612254.3301,4631837.309,1110.9557,-0.0552,-0.005,6.6379,0.9949,Yes,3.7834,0.0105,0.1971,0.0005,28.6229,19.8705,7.9633,0.0009,0.0003,100,0.223,100
69,-64.1565,155.3013,225.7174,225.4812,1.3726,612254.8765,4631836.118,1108.2572,-0.085,-0.0104,7.9486,0.9953,Yes,3.5863,0.01,-2.0202,-0.0056,28.9997,19.9212,7.9697,0.0009,0.0003,100,0.2194,100
72,-64.3212,155.0437,227.9137,227.5013,1.9913,612255.424,4631834.935,1105.5553,-0.1224,-0.02,9.2524,0.9954,Yes,5.6064,0.0156,0.8999,0.0025,28.9341,19.9673,7.9727,0.0009,0.0003,100,0.1533,100
75,-64.4316,154.8958,227.1094,226.6014,1.2767,612255.9729,4631833.759,1102.8504,-0.1671,-0.0342,10.5497,0.9949,Yes,4.7065,0.0131,7.631,0.0212,28.8932,20.0108,7.9771,0.0009,0.0003,100,0.1108,100
78,-64.508,154.8795,219.5553,218.9704,0.7665,612256.5216,4631832.588,1100.1433,-0.2167,-0.0502,11.8427,0.9948,Yes,-2.9245,-0.0081,-5.3177,-0.0148,28.4262,20.051,7.9815,0.001,0.0003,100,0.3014,100
81,-64.5166,154.6042,225.0881,224.2881,1.188,612257.0725,4631831.421,1097.4353,-0.2685,-0.0694,13.1335,0.9949,Yes,2.3932,0.0066,-0.6065,-0.0017,28.5491,20.0786,7.9838,0.001,0.0003,100,0.1137,100
84,-64.6147,154.3368,225.9445,224.8946,1.51,612257.6278,4631830.258,1094.726,-0.3231,-0.0947,14.4218,0.9951,Yes,2.9997,0.0083,-0.7291,-0.002,29.4666,20.1195,7.9877,0.001,0.0003,100,0.1172,100
87,-64.7305,154.4445,226.6714,225.6237,1.2464,612258.1825,4631829.101,1092.0144,-0.3833,-0.1217,15.7051,0.9953,Yes,3.7288,0.0104,-0.3547,-0.001,29.5485,20.1497,7.9929,0.0009,0.0003,100,0.1568,100
90,-64.7486,154.5726,226.8765,225.9785,0.5759,612258.7334,4631827.945,1089.3013,-0.4471,-0.146,16.9852,0.9953,Yes,4.0836,0.0113,0.345,0.001,28.9178,20.1715,7.9942,0.0009,0.0003,100,0.2821,100
93,-64.7001,154.5811,226.5082,225.6335,0.4865,612259.2833,4631826.788,1086.5885,-0.5099,-0.1688,18.2661,0.9951,Yes,3.7386,0.0104,-0.6104,-0.0017,29.3437,20.1912,8.0006,0.001,0.0003,100,0.1271,100
96,-64.7058,154.8169,227.0436,226.2439,1.0092,612259.8312,4631825.629,1083.8762,-0.5717,-0.1889,19.548,0.9952,Yes,4.349,0.0121,-2.0638,-0.0057,29.3437,20.2018,8.0032,0.0009,0.0004,100,0.1631,100
99,-64.7364,154.7415,229.0968,228.3077,0.4447,612260.3771,4631824.471,1081.1634,-0.6344,-0.2071,20.829,0.9951,Yes,6.4128,0.0178,6.4128,0.0178,30.1384,20.2042,8.0082,0.001,0.0004,100,0.0763,100
102,-64.8692,154.763,134.5255,134.5255,0,612260.923,4631823.314,1078.45,0,0,0,0.9985,Yes,1.9596,0.0054,0.334,0.0009,30.4661,17.6569,7.9111,0.0009,0.0003,100,0.1274,100
105,-64.8957,154.8047,134.2016,134.1915,0.3188,612261.4655,4631822.162,1075.7337,-0.0007,0.0005,1.2734,0.9983,Yes,1.6256,0.0045,0.002,0,31.0805,17.6827,7.9134,0.0009,0.0003,100,0.1364,100
108,-64.9365,154.8935,134.1199,134.1895,0.5554,612262.0061,4631821.011,1073.0166,-0.0032,0.0024,2.5453,0.9983,Yes,1.6236,0.0045,2.8868,0.008,30.5234,17.7228,7.9163,0.0009,0.0003,100,0.1399,100
111,-65.01,154.8953,131.2903,131.3027,0.7355,612262.5445,4631819.861,1070.2983,-0.0086,0.0053,3.8144,0.9981,Yes,-1.2632,-0.0035,-1.2075,-0.0034,30.5807,17.7601,7.9216,0.0009,0.0003,100,0.1008,100
114,-65.1327,154.8612,132.5282,132.5102,1.2352,612263.0814,4631818.717,1067.5778,-0.0192,0.0078,5.0789,0.9982,Yes,-0.0557,-0.0002,0.7734,0.0021,31.0149,17.7977,7.9231,0.0009,0.0003,100,0.2225,100
117,-65.2096,154.9669,131.7062,131.7368,0.8876,612263.6155,4631817.576,1064.8551,-0.035,0.0112,6.3386,0.9978,Yes,-0.8292,-0.0023,0.361,0.001,30.6053,17.839,7.926,0.0009,0.0003,100,0.2813,100
120,-65.3019,154.8803,131.4249,131.3757,0.9919,612264.1477,4631816.438,1062.1305,-0.0553,0.0147,7.5943,0.9982,Yes,-1.1902,-0.0033,-0.5995,-0.0017,30.679,17.8768,7.9309,0.0009,0.0003,100,0.233,100
123,-65.2857,154.8586,132.0873,131.9752,0.1857,612264.6802,4631815.303,1059.4052,-0.0775,0.017,8.8482,0.998,Yes,-0.5907,-0.0016,0.481,0.0013,30.974,17.915,7.9338,0.0009,0.0003,100,0.0661,100
126,-65.3107,154.9266,131.6004,131.4943,0.3783,612265.2121,4631814.168,1056.6797,-0.0999,0.0198,10.1019,0.9981,Yes,-1.0717,-0.003,0.8062,0.0022,31.0231,17.9486,7.9383,0.0009,0.0003,100,0.2105,100
129,-65.3411,155.0032,130.7534,130.6881,0.4414,612265.7421,4631813.033,1053.9536,-0.1239,0.0243,11.3542,0.9979,Yes,-1.8779,-0.0052,-0.8193,-0.0023,31.4327,17.9771,7.9419,0.001,0.0003,100,0.1426,100
132,-65.4304,154.8689,131.63,131.5074,1.0535,612266.2714,4631811.901,1051.2262,-0.1509,0.028,12.6038,0.9982,Yes,-1.0585,-0.0029,1.2203,0.0034,31.4491,18.0099,7.9443,0.0009,0.0003,100,0.1912,100
135,-65.4563,154.8214,130.4848,130.2871,0.326,612266.8014,4631810.773,1048.4975,-0.181,0.0298,13.8505,0.9984,Yes,-2.2788,-0.0063,-0.0526,-0.0001,31.5474,18.0313,7.9501,0.0009,0.0003,100,0.1558,100
138,-65.5467,154.8073,130.582,130.3397,0.9062,612267.3308,4631809.647,1045.7676,-0.2141,0.0309,15.0945,0.9983,Yes,-2.2262,-0.0062,-0.8441,-0.0023,31.2934,18.0526,7.9527,0.0009,0.0003,100,0.2368,100
141,-65.5258,154.8021,131.3892,131.1838,0.211,612267.8597,4631808.523,1043.0369,-0.249,0.0318,16.3369,0.9982,Yes,-1.3821,-0.0038,0.2143,0.0006,32.3256,18.0666,7.9566,0.0009,0.0003,100,0.1228,100
144,-65.5517,154.8946,131.1393,130.9695,0.4627,612268.3876,4631807.398,1040.3062,-0.2841,0.0337,17.5791,0.9981,Yes,-1.5964,-0.0044,-1.1482,-0.0032,31.5228,18.0722,7.9614,0.0009,0.0003,100,0.1155,100
147,-65.5465,154.9466,132.2704,132.1177,0.2216,612268.914,4631806.274,1037.5753,-0.3197,0.0371,18.8209,0.9979,Yes,-0.4482,-0.0012,1.7312,0.0048,31.9652,18.0729,7.964,0.0009,0.0003,100,0.2274,100
150,-65.6247,154.9592,130.4543,130.3865,0.784,612269.4389,4631805.15,1034.8435,-0.3572,0.0412,20.0609,0.9981,Yes,-2.1795,-0.0061,-2.1795,-0.0061,32.0717,18.0664,7.9692,0.0009,0.0003,100,1.3485,99.8638
153,-65.9152,154.737,3.89,3.89,0,612269.964,4631804.032,1032.11,0,0,0,0.9995,Yes,1.0434,0.0029,0.2673,0.0007,30.3841,18.1372,8.1779,0.0009,0.0003,100,0.1958,100
156,-65.9763,154.5361,3.7769,3.6227,1.022,612270.4878,4631802.927,1029.3705,-0.0016,-0.0021,1.2228,0.9995,Yes,0.7761,0.0022,-0.0494,-0.0001,31.2361,18.1778,8.1847,0.0009,0.0003,100,0.2581,100
159,-66.0381,154.3383,3.9875,3.672,1.0143,612271.0142,4631801.827,1026.6297,-0.0064,-0.0085,2.4427,0.9995,No,0.8255,0.0023,0.4933,0.0014,30.7282,18.2205,8.1903,0.0014,0.0004,100,0.1385,100
162,-66.0854,154.0531,3.7947,3.1788,1.2501,612271.544,4631800.731,1023.8878,-0.0141,-0.02,3.6599,0.9994,Yes,0.3322,0.0009,-0.0904,-0.0003,29.6878,18.2541,8.1947,0.0009,0.0003,100,0.1671,100
165,-66.1067,153.6623,4.1528,3.2692,1.598,612272.0796,4631799.64,1021.1451,-0.0236,-0.0387,4.8755,0.9993,Yes,0.4226,0.0012,0.8072,0.0022,30.3759,18.282,8.2014,0.0009,0.0003,100,0.2494,100
168,-66.1082,153.5997,3.4554,2.462,0.2537,612272.6193,4631798.551,1018.4022,-0.0338,-0.0621,6.0905,0.9995,Yes,-0.3846,-0.0011,-0.2197,-0.0006,29.8107,18.3121,8.2054,0.0009,0.0003,100,0.3328,100
171,-66.111,153.4177,3.7807,2.6817,0.7378,612273.1613,4631797.463,1015.6592,-0.044,-0.0882,7.3054,0.9993,Yes,-0.1649,-0.0005,0.5009,0.0014,30.5562,18.335,8.212,0.0009,0.0003,100,0.2515,100
174,-66.1099,153.5287,3.1623,2.1808,0.4495,612273.7039,4631796.376,1012.9162,-0.0543,-0.115,8.5202,0.9994,Yes,-0.6658,-0.0018,-0.1708,-0.0005,30.8429,18.3575,8.2173,0.0009,0.0003,100,0.2321,100
177,-66.1312,153.5665,3.3127,2.3516,0.262,612274.2448,4631795.289,1010.173,-0.0651,-0.1402,9.7347,0.9996,Yes,-0.495,-0.0014,0.1594,0.0004,30.8429,18.3843,8.2237,0.0009,0.0003,100,0.1414,100
180,-66.0633,153.6762,3.0808,2.1922,0.8115,612274.7849,4631794.2,1007.4303,-0.0746,-0.1638,10.9502,0.9996,Yes,-0.6544,-0.0018,-0.7561,-0.0021,31.105,18.4062,8.2295,0.0009,0.0003,100,0.3246,100
183,-66.0995,153.563,3.9408,2.9483,0.5848,612275.3254,4631793.111,1004.688,-0.0833,-0.1876,12.1665,0.9998,Yes,0.1017,0.0003,0.8822,0.0025,30.3432,18.4409,8.2348,0.0009,0.0003,100,0.4459,100
186,-66.1035,153.5616,3.0434,2.0661,0.0403,612275.8665,4631792.022,1001.9452,-0.0931,-0.2125,13.3818,0.9997,Yes,-0.7805,-0.0022,-0.5716,-0.0016,29.9336,18.4759,8.2417,0.0009,0.0003,100,0.3552,100
189,-66.1068,153.5354,3.612,2.6377,0.1109,612276.4077,4631790.934,999.2023,-0.1031,-0.2377,14.597,0.9998,Yes,-0.2089,-0.0006,1.2551,0.0035,31.1378,18.5076,8.2458,0.0009,0.0003,100,0.236,100
192,-66.0689,153.758,2.2661,1.3826,0.9785,612276.9475,4631789.845,996.4598,-0.1121,-0.2608,15.813,0.9995,Yes,-1.464,-0.0041,-1.6361,-0.0045,28.6147,18.5243,8.2539,0.0009,0.0003,100,0.3346,100
195,-66.0499,153.613,3.9848,3.0187,0.6187,612277.4872,4631788.753,993.7179,-0.1197,-0.2832,17.0304,0.9997,Yes,0.1721,0.0005,0.4881,0.0014,29.1062,18.5407,8.2584,0.001,0.0003,100,0.2558,100
198,-65.9929,153.5544,3.5399,2.5306,0.6179,612278.0296,4631787.662,990.9768,-0.1252,-0.3077,18.2495,0.9998,Yes,-0.316,-0.0009,-0.5029,-0.0014,28.5819,18.5413,8.2653,0.0009,0.0003,100,0.3703,100
201,-66.0187,153.3545,4.2782,3.0335,0.8526,612278.5748,4631786.57,988.2361,-0.13,-0.335,19.4695,0.9994,Yes,0.1869,0.0005,0.1869,0.0005,29.9172,18.5293,8.2695,0.0009,0.0003,100,0.2013,100
204,-65.8348,153.179,51.8134,51.8134,0,612279.123,4631785.481,985.495,0,0,0,0.9995,Yes,4.486,0.0125,-1.2588,-0.0035,28.9505,18.5443,7.9863,0.001,0.0003,100,0.342,100
207,-65.8671,153.0358,53.2274,53.0722,0.6693,612279.6782,4631784.386,982.7576,-0.0009,-0.0015,1.2273,0.9996,Yes,5.7448,0.016,1.001,0.0028,29.1144,18.6084,7.9912,0.0009,0.0003,100,0.2438,100
210,-65.7488,153.0518,52.1471,52.0712,1.1849,612280.2354,4631783.291,980.021,0.0006,-0.0044,2.4567,0.9994,Yes,4.7437,0.0132,-1.9975,-0.0055,28.8932,18.6752,7.9941,0.0009,0.0003,100,0.0971,100
213,-65.7236,152.919,54.2399,54.0687,0.6008,612280.7954,4631782.192,977.286,0.0057,-0.0086,3.6895,0.9996,Yes,6.7412,0.0187,1.8374,0.0051,29.057,18.7335,7.9998,0.0009,0.0003,100,0.0877,100
216,-65.6143,152.8156,52.5703,52.2313,1.1738,612281.3591,4631781.092,974.5525,0.0144,-0.0153,4.9256,0.9993,Yes,4.9039,0.0136,-0.7156,-0.002,28.8195,18.7844,8.003,0.0009,0.0003,100,0.135,100
219,-65.5273,152.7743,53.3197,52.9469,0.8859,612281.9263,4631779.989,971.8211,0.0282,-0.0236,6.1663,0.9992,Yes,5.6194,0.0156,0.6783,0.0019,28.844,18.6857,8.0069,0.0009,0.0003,100,0.0648,100
222,-65.436,152.836,52.6186,52.2686,0.9485,612282.4953,4631778.882,969.0916,0.0467,-0.0318,7.4112,0.9993,Yes,4.9412,0.0137,-0.6855,-0.0019,29.0325,18.729,8.0123,0.001,0.0003,100,0.1026,100
225,-65.3857,152.9956,53.1976,52.9541,0.8331,612283.0637,4631777.77,966.3636,0.0689,-0.0375,8.6595,0.9993,Yes,5.6266,0.0156,1.0205,0.0028,28.6556,18.764,8.0153,0.0009,0.0003,100,0.094,100
228,-65.2928,152.943,52.1846,51.9336,0.9544,612283.6325,4631776.655,963.6373,0.0948,-0.0421,9.9113,0.9993,Yes,4.6062,0.0128,0.3323,0.0009,28.8604,18.7986,8.0222,0.0009,0.0003,100,0.1257,100
231,-65.2296,152.7781,52.0357,51.6014,0.9357,612284.2052,4631775.538,960.9126,0.1249,-0.0491,11.1667,0.9994,Yes,4.2739,0.0119,0.4295,0.0012,28.6229,18.822,8.025,0.0009,0.0003,100,0.1012,100
234,-65.2267,152.6769,51.6697,51.1718,0.425,612284.7812,4631774.421,958.1886,0.1566,-0.059,12.4237,0.9992,Yes,3.8444,0.0107,-0.4437,-0.0012,29.0325,18.831,8.0306,0.0009,0.0003,100,0.1262,100
237,-65.2067,152.6379,52.1811,51.6155,0.2583,612285.3588,4631773.304,955.4649,0.189,-0.0704,13.6813,0.9993,Yes,4.2881,0.0119,0.455,0.0013,28.7048,18.8466,8.0335,0.0009,0.0003,100,0.0541,100
240,-65.1434,152.6256,51.729,51.1605,0.635,612285.9378,4631772.185,952.7422,0.2235,-0.0824,14.9408,0.9993,Yes,3.8331,0.0106,0.8599,0.0024,28.7212,18.848,8.0389,0.0009,0.0003,100,0.1913,100
243,-65.12,152.5211,50.9411,50.3006,0.4979,612286.5189,4631771.065,950.0203,0.2603,-0.0958,16.2024,0.9991,Yes,2.9732,0.0083,-0.1723,-0.0005,28.8277,18.8411,8.0439,0.0009,0.0003,100,0.116,100
246,-65.113,152.435,51.2243,50.4729,0.369,612287.1023,4631769.946,947.2988,0.2979,-0.1112,17.4647,0.9992,Yes,3.1455,0.0087,-0.8426,-0.0023,28.7375,18.8295,8.0469,0.0009,0.0003,100,0.0775,100
249,-65.0616,152.4029,52.0875,51.3155,0.5316,612287.6874,4631768.826,944.578,0.337,-0.128,18.7284,0.9993,Yes,3.9881,0.0111,1.2785,0.0036,28.713,18.8137,8.0529,0.001,0.0003,100,0.0491,100
252,-64.9965,152.434,50.808,50.037,0.6633,612288.2737,4631767.703,941.8584,0.3792,-0.1448,19.9948,0.9992,Yes,2.7096,0.0075,2.7096,0.0075,28.7048,18.7883,8.0555,0.0009,0.0003,100,0.1694,100
255,-64.8623,152.468,48.0644,47.3274,1.3503,612288.8617,4631766.576,939.1411,0.4266,-0.161,21.266,0.9993,Yes,0,0,0,0,0,18.757,8.0624,0.0009,0.0003,100,0,100
